week_start,vo2_max,resting_hr,avg_stress,weekly_mileage,weekly_intensity_minutes
5/3/2022,48,60,28,0,269
5/10/2022,48,62,26,0,320
5/17/2022,49,59,22,0,423
5/24/2022,48,53,23,17.6,520
5/31/2022,47,53,29,7.6,759
6/7/2022,47,54,25,16,492
6/14/2022,47,52,23,11,759
6/21/2022,48,49,21,22.7,835
6/28/2022,48,56,28,24,614
7/5/2022,48,56,23,18.1,969
7/12/2022,47,57,26,28.6,1057
7/19/2022,47,52,21,36,1180
7/26/2022,48,50,23,32.6,819
8/2/2022,44,51,23,30.9,773
8/9/2022,46,53,28,38.7,1241
8/16/2022,47,53,26,25.2,765
8/23/2022,47,49,23,54.5,1376
8/30/2022,48,50,21,34,1276
9/6/2022,46,50,20,32,1462
9/13/2022,48,51,21,48.5,1228
9/20/2022,49,47,19,47.8,1096
9/27/2022,50,45,19,51.2,1611
10/4/2022,50,46,21,50.5,1429
10/11/2022,51,47,20,51.9,1799
10/18/2022,51,46,21,57.9,1341
10/25/2022,52,45,24,45.7,1002
11/1/2022,50,52,32,31.2,724
11/8/2022,51,54,35,43.3,988
